date yyyy-mm-dd,numdate,measles
1899-6-3,1899.4219,420
1899-6-10,1899.4411,422
1899-6-17,1899.4603,375
1899-6-24,1899.4795,330
1899-7-1,1899.4986,278
1899-7-8,1899.5178,216
1899-7-15,1899.537,253
1899-7-22,1899.5562,203
1899-7-29,1899.5753,164
1899-8-5,1899.5945,156
1899-8-12,1899.6137,4
1899-8-19,1899.6329,106
1899-8-26,1899.6521,104
1899-9-2,1899.6712,83
1899-9-9,1899.6904,64
1899-9-16,1899.7096,41
1899-9-23,1899.7288,55
1899-9-30,1899.7479,86
1899-10-7,1899.7671,71
1899-10-14,1899.7863,113
1899-10-21,1899.8055,140
1899-10-28,1899.8247,176
1899-11-4,1899.8438,180
1899-11-11,1899.863,262
1899-11-18,1899.8822,248
1899-11-25,1899.9014,291
1899-12-2,1899.9205,275
1899-12-9,1899.9397,337
1899-12-16,1899.9589,482
1899-12-23,1899.9781,484
1899-12-30,1899.9973,450
1900-1-6,1900.0164,552
1900-1-13,1900.0356,757
1900-1-20,1900.0548,777
1900-1-27,1900.074,824
1900-2-3,1900.0932,817
1900-2-10,1900.1123,859
1900-2-17,1900.1315,891
1900-2-24,1900.1507,896
1900-3-3,1900.1699,818
1900-3-10,1900.189,874
1900-3-17,1900.2082,729
1900-3-24,1900.2274,828
1900-3-31,1900.2466,853
1900-4-7,1900.2658,715
1900-4-14,1900.2849,680
1900-4-21,1900.3041,716
1900-4-28,1900.3233,714
1900-5-5,1900.3425,637
1900-5-12,1900.3616,559
1900-5-19,1900.3808,618
1900-5-26,1900.4,577
1900-6-2,1900.4192,458
1900-6-9,1900.4384,419
1900-6-16,1900.4575,392
1900-6-23,1900.4767,304
1900-6-30,1900.4959,202
1900-7-7,1900.5151,179
1900-7-14,1900.5342,188
1900-7-21,1900.5534,120
1900-7-28,1900.5726,121
1900-8-4,1900.5918,96
1900-8-11,1900.611,55
1900-8-18,1900.6301,51
1900-8-25,1900.6493,37
1900-9-1,1900.6685,39
1900-9-8,1900.6877,38
1900-9-15,1900.7068,26
1900-9-22,1900.726,34
1900-9-29,1900.7452,17
1900-10-6,1900.7644,30
1900-10-13,1900.7836,41
1900-10-20,1900.8027,36
1900-10-27,1900.8219,46
1900-11-3,1900.8411,47
1900-11-10,1900.8603,45
1900-11-17,1900.8795,53
1900-11-24,1900.8986,46
1900-12-1,1900.9178,95
1900-12-8,1900.937,63
1900-12-15,1900.9562,111
1900-12-22,1900.9753,114
1900-12-29,1900.9945,99
1901-1-5,1901.0137,82
1901-1-12,1901.0329,99
1901-1-19,1901.0521,102
1901-1-26,1901.0712,110
1901-2-2,1901.0904,116
1901-2-9,1901.1096,145
1901-2-16,1901.1288,159
1901-2-23,1901.1479,198
1901-3-2,1901.1671,167
1901-3-9,1901.1863,274
1901-3-16,1901.2055,234
1901-3-23,1901.2247,319
1901-3-30,1901.2438,313
1901-4-6,1901.263,289
1901-4-13,1901.2822,348
1901-4-20,1901.3014,280
1901-4-27,1901.3205,330
1901-5-4,1901.3397,319
1901-5-11,1901.3589,315
1901-5-18,1901.3781,368
1901-5-25,1901.3973,302
1901-6-1,1901.4164,329
1901-6-8,1901.4356,302
1901-6-15,1901.4548,270
1901-6-22,1901.474,271
1901-6-29,1901.4932,274
1901-7-6,1901.5123,275
1901-7-13,1901.5315,219
1901-7-20,1901.5507,164
1901-7-27,1901.5699,120
1901-8-3,1901.589,127
1901-8-10,1901.6082,99
1901-8-17,1901.6274,72
1901-8-24,1901.6466,72
1901-8-31,1901.6658,47
1901-9-7,1901.6849,39
1901-9-14,1901.7041,35
1901-9-21,1901.7233,50
1901-9-28,1901.7425,37
